arm_key,label,train_seed,eval_seed,workload_hash,n_tasks,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,success_rate,deadline_miss_rate,broker_ms_mean,up_ms_mean,queue_ms_mean,exec_ms_mean,prop_j,comp_j,net_j,control_j,signal_j,edge_j,sys_j_per_delivered,sys_j_per_attempted,head_changes,jain_delay,jain_success
B1,static/spotis/rl,43,48,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25277,145.34500958307484,150.0,453.1313597970461,550.0,0.5379594097400799,0.46204059025992006,0.413548636676931,3.0350179503173225,84.66827427651992,60.71001819811637,2266828.79414496,14956.469691125145,155.51295569645956,155.73167607830203,0.015770598673855808,589.2578480823877,167.86922945187098,90.30683158945054,1,0.9894892284579206,0.9918830475133118
B1,static/spotis/rl,43,49,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24995,143.68094901838398,150.0,449.34605180328566,550.0,0.5439487897579516,0.4560512102420484,0.42126597129849574,3.077756974620369,84.64325932933221,59.13234233438934,2197993.2468927964,14359.51585567094,155.74585320233552,155.3479259021439,0.0,595.3889209252998,162.78752908565,88.54807943382664,0,0.9905659355988247,0.9917079874602618
B1,static/spotis/rl,43,50,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24846,146.43025068312988,150.0,481.84239497681045,550.0,0.5352169363277791,0.4647830636722209,0.4384064819445079,2.9310744105636672,85.84313086750475,60.56417582203588,2222666.3889518552,14670.745529420978,146.8891247491886,163.59477733567002,0.0,556.9207711947686,168.3113655553133,90.08309342165967,0,0.9889086206703075,0.9914216033027619
B1,static/spotis/rl,43,51,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25076,143.33391385707841,150.0,441.4983988207837,550.0,0.5405965863774127,0.4594034136225873,0.43712803061635963,2.9965313761163856,85.3489740353413,57.509760160261116,2323964.3194531966,14044.531524277949,150.7614068622241,165.6896804544825,0.0,578.7417128599565,172.53644465754283,93.27261300756304,0,0.9892913432378976,0.9926542996652121
B1,static/spotis/rl,43,52,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25007,140.7604803668836,146.18738784241714,433.22911252754574,550.0,0.5662414523933299,0.4337585476066701,0.42036278905603297,3.219558542367286,81.15849862297021,59.260295713207576,2234045.474657724,14381.75919796735,162.67035099805736,150.71290631973278,0.0,621.4980753570328,158.85325672234225,89.94929880386957,0,0.9886522232282655,0.9937713551639414
B1,static/spotis/rl,44,42,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25080,152.15712211486087,150.0,503.1279494864493,550.0,0.45103668261562996,0.54896331738437,0.3673747538529105,3.067287347914918,101.33021227925101,51.40303290319366,2162005.9839840634,12463.98278313744,155.01924402513515,157.5387633663151,0.03133729225827647,572.2582345070788,192.30505784533162,86.7366353407652,2,0.9849447983288039,0.9885687597913514
B1,static/spotis/rl,44,43,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24912,131.26091953642262,112.21767464483534,379.05508303318817,550.0,0.6509714193962749,0.3490285806037251,0.4719925734293198,3.249560090876102,65.25039978444187,64.96121601671418,2310155.2346867598,15859.394817345628,163.3626133057848,151.9434513567544,0.0,628.1810329021357,143.4888152310335,93.4071177184357,0,0.9907363317947062,0.9952764767810584
B1,static/spotis/rl,44,44,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25134,154.13999198049407,150.0,550.0,550.0,0.43331741863611045,0.5666825813638896,0.33465795543157323,2.4785772522043197,107.3351449657401,46.31520603427583,2092961.8329470106,11341.54015628978,126.12681968195778,156.3076787267369,0.0,473.94069757237145,193.28434012480778,83.7534713256657,0,0.9850159893092113,0.9894760332554248
B1,static/spotis/rl,44,45,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24998,143.1582180108973,150.0,449.67376751593645,550.0,0.5477638211056884,0.45223617889431156,0.43007000469611456,2.884025919971087,84.41350279920071,58.69605039566063,2202611.4109985875,14291.770514517142,145.14978613440206,158.37478088669414,0.0,544.853860896299,161.96243043460322,88.7171597704225,0,0.9902376290195296,0.9933327416507494
B1,static/spotis/rl,44,46,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25550,136.80071907487917,124.3133263498416,404.5433904420612,550.0,0.6058708414872799,0.3941291585127201,0.4484731930701284,3.14353755489219,72.96593399794622,63.68104417636144,2272970.7466923185,15865.746408680328,162.7173644813512,153.9709159797236,0.0,625.1811055729938,147.91849886867138,89.61950538109718,0,0.9906509200440272,0.995212310856688
B1,static/spotis/rl,44,47,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25063,146.23170919261435,150.0,472.65684719022516,550.0,0.4948330207876152,0.5051669792123847,0.3760770121485215,2.6234391963145276,93.58176959688267,52.89489696229936,2230155.889313298,12849.551425655414,132.7550018514763,152.1316807937157,0.07042199278541744,502.4174436462745,180.92185254694704,89.5261068222973,4,0.989517607601004,0.9913635320174605
B1,static/spotis/rl,44,48,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25277,145.04962509568668,150.0,451.5493695182118,550.0,0.5424694386200895,0.45753056137991055,0.4152894464549495,3.0388836130243306,84.46893688480151,60.723383725905826,2266820.8418058436,14943.980149465073,154.4698271204696,155.73166617523836,0.015770598673855808,592.2998993213881,166.4722388505342,90.30610195507873,1,0.9904185956511099,0.9914510319755272
B1,static/spotis/rl,44,49,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24995,143.1492028914664,150.0,450.1330376054247,550.0,0.5464292858571714,0.45357071414282857,0.42349140197645135,3.0568061752247404,84.61371200441087,58.57122641589632,2198073.118945003,14196.747793885463,153.8571346356151,155.3479259021439,0.0,590.0331758371724,162.0419611198758,88.54447309362926,0,0.9907735554475753,0.9920400653017148
B1,static/spotis/rl,44,50,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24846,146.20717011987693,150.0,478.91818516515275,550.0,0.534291234001449,0.46570876599855104,0.43971236115848,2.9187594638694443,85.80691159114846,60.42552130912009,2222695.8353040423,14630.366023984154,147.60170947524594,163.59476678217203,0.0,548.9448145866551,168.60160773023506,90.08236104881553,0,0.9873859830916144,0.9914430477538202
B1,static/spotis/rl,44,51,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25076,143.34824973919842,150.0,443.1551271428971,550.0,0.5409554952943053,0.4590445047056947,0.43769582844535054,2.977490692336966,85.71020389182611,57.20441437436726,2323990.136580455,13949.109760162166,150.14549118643185,165.6896804544825,0.0,578.629331160883,172.41678664529442,93.26980821675781,0,0.9902529247407846,0.9927076878504942
